Observation Start Date	Observation Start Hour	Observation End Date	Observation End Hour	Approximate Lat	Approximate Lon	Observing Ship/Sensor	Observor(s)	Description	Reported In	Approx Location	Phenomena	Confidence	Area KM2	Event Number
07/31/1981	20:36 GMT	07/31/1981	(?)	14 deg 30.2' N	57 deg 34.2' E	SS Lima 	A.F. DeVanney, Chief Officer	Once again, I have been fortunate enough to experience the sight of the very remakrable, natural phenomena of the "Milky Sea". This time, after a gap of a little over seven years, and once again in the Arabian sea on two consecutive nights. I am serving as Chief Officer on the 318,000 tonne Shell tanker 'LIMA' which is presently bound on a laden passage from Mina-al-Fahal, in Oman, to Lyme Bay, England. Unlike my previous three sightings of the bioluminescence which appeared shortly after evening twilight, these sightings were not apparent until the Middle Watch. We had left our loading port of Fahal on 27th July and were now proceeding into the heavy seas of the South West Monsoon, steering a course of 209 deg (T) at a speed of 5.2 knots. At 2036Z 31st July, (0036 S.T. 1st August) the sea suddenly turned a "Milky White" giving the effect that we were steaming through a snow covered ploughed field and causing mixed reactions among those on the bridge. Second officer G.J. 'Borus' Lea was the initial observer and, was a little dubious as to what he was seeing. Having only rarely visited the Arabian Gulf area he had not seen the like before. Other observers of the phenomena were: Deck Cadet N.T. Dobson, Chinese G1 seaman Heung Chi Ming of the middle watch, Chinese GL seaman Wong Chu and, Chief Officer A.F.DeVanney of the 4-8 watch. It was also the first sighting for both Cadets and, so far as I could ascertain, of the Chinese Watchkeepers. The effect continued through until morning twilight at approximately 0100Z 1st. Agu. the effect was nowhere near as bright as I had seen it on previous occasions and, possibly due to my having 'seen it before' was not as eerie though was just as fascinating and exciting as in the past. Our position at the time of initially sighting the phenomena as fixed by Magnavox MX1112 Satellite Navigator was 14 deg 55.2'N 57 deg 44.8'E, wind from s.s.w. force 8 (Beaufort Scale) sea state 5, swell 8 (Douglas Scale) with visibility in excess of 12 miles. The sky was clear, barometer 1013m.b. uncorrected ona. Kelvin hughes aneroid type, height of eye 29 metres. Air temperature 26 deg C, sea temperature 26 deg C and, as previously stated, course 209 deg (T) speed 5.2 knots. Satellite position at twilgith, 0100Z, 14 deg 30.2'N 57 deg 34.2'E with the weather conditions similar throughout apart from a rise in barometric pressure of nearly 1m.b. A sea sample was taken and is forwarded separately to your good selves. The usual scepticism was apparent as to what was the cause till the various publications on the subject had been consulted. Most of the observers had seen the phosphorescent trail in the ship's wake and from the bow wave but, this was a new and wonderful experience. I wondered if it was possible that it could appear the following night as I had previously experienced whilst serving as the Second Officer in the s.s. Mengelia back in 1974 but, knowing this to be quite unusual, thought the liklihood of this to be too rara avis. Imagine, then, my delight and surprise upon taking over the watch to find we were indeed, steaming through that snow covered ploughed field! This time the phenomena became visible at 2036Z 1st. Aug 0045 S.T. 2nd. Aug. Satellite position 13 deg 04.3'N 56 deg 44.3'E again steering 209 deg (T) speed 5.35 knots. The effect was apparent till twilgiht ethced its way into the night at approximately 0110Z. Only the cadets were non-observers this time, Sunday being their day of rest! wind was still steady from the S.S.W. force 8 (Beaufort) sea 6 swell 7 (Douglas) visibility around 12 miles and a cloudless sky. Our trusty aneroid read 1013m.b.-uncorrected- rising to 1014.5 m.b. uncorrected, by twilight, air and sea temperatures were both 25 deg C. 0500 satellite pos'n 12 deg 44.3'N 56 deg 32.8'E. The intensity was similar to the previous evenings sighting. Unfortunatley, the Mariners Handbook was 'on loan' from the library so it was until after the sightings that I came across the last paragraph in chapter 6:9 on bioluminescence and hence, obtain two samples. I am sure that both the M.O.D. and yourselves are in regular contact about such matters so one sample, hopefully, will serve you both. My apologies for this faux pas on my behalf. I have sent a copy of this report to the M.O.D. Taunton. Hoping the above is of some assistance to you. Yours faithfully, A.F. Devanney. Chief Officer S.S. LIMA	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	224
07/31/1981	00:25 GMT	07/31/1981	(?)	20 deg 56' N	70 deg 26' W	Oropesa (38169)	M.C. Hill, Cadet; T. J. Sax, Captain	31st July 1981 0025 GMT (30-7-81 2025 Local Chilean Time) Lat 20 deg 56'N Long 70 deg 26'W - Coast of Chile Course 188 deg (T). Vessel on passage from Iquique to Antoragasta (speed 16 knots). Very strong bioluminescence of a very light green colour, being slightly irritating to the eyes, further away from the vessel the sea had the appearance of being rough as if white horses caused by a force 6 wind, when in fact the wind was no more thann force 4 from the S.W. On the horizon to the S.W. there was a light band similar to what may be seen on a cloudy sky during the period of very early dawn. This phenomena proved to be an optical illusion as within minutes the sea could be seen to be covered in what appeared to be a very low lying illuminated haze, but again this was proved to be an illusion, and in fact, as the vessel passed the area, estimated to be about 1/4 mile on the starboard beam, it could be seen that it was in fact the sea which was glowing with a very  pale, milky dim light. This phenomena disappeared within a few minutes. The glowing white horses rough sea effect faded in about 12 minutes, the very bright bow wave began to fade at the same time but remained just visible for a further 15 to 20 minutes. Weather information at the time of observation: sky cloudy 5, wind S.W. 3, slight sea, long low swell, (SW'LY) Baro. 1013.6, Air Temp 14.8, wet bulb 12.9, sea temp 15.9. It may be of interest and have some connection with the above observation that when the vessel arrived at the Iquique anchorage on the morning of the 30th at 0245 (L.M.T.) A ground swell was experienced, at 0700 when the vessel entered port, some difficulty was experienced in securing to the berth, throughout the day the swell increased causing this cessel and the M/V "Blue Master' to part moorings. When the pilot boarded at 1600 to take the 'Oropesa' out of the port, I asked him about the swell, he told me the previous day there was no problem but today the swell was getting strong and that the usual pattern of events was that the swell would most likely increase until tomorrow (31st) when it would be its trongest, then would start to calm down by the latter part of the 31st. And the 1st August, and by the morning of the 4th day would be quiet again. In other words a 3 day period, He also said that these heavy 3 day swells occurred about 4 or 5 times a year.	Letter to Dr. Herring	Chile	(?)	1	N/A	225
08/01/1981	21:30 LOC	08/02/1981	01:20 LOC	13 deg 25' N	56 deg 35' E	SS Mena	J.Y. Simpson, Third Officer; P.F. Redfern, Master	Dear Sir, I wish to submit a report on the sighting of "white water". At the time in question the above vessel was on passage from Mina al Falh to Mombasa. On the evening of the 1st August 1981 whilst on a course of 204 True with a speed of 11 knots in position 1352 North 5635 East the following phenomenon occurred. The weather at the time was SSW 8, barometer 1000 steady, Air temp 25C and sea temp 28 1/2 C. At 2130 Local time the visibility having been 6 miles suddenly lifted to 10 miles and the horizon became sharp where previously it had been hazy due to heavy seas and spray. A band of "White Water" was observed on the port side and was increasing in size. By 2145 hours the creamy white area was now across the path of the vessel and spreading all round the horizon. Estimation of the size of the area would be about 6 miles in diameter coming from an ESE direction. At 2230 hours and the vessel was still in the center of the area of "White Water" and both sea and sky were still intensely illuminated. The effect was that of sailing on top of a cloud. Where the bow wave actually broke the water took on its normal colour but returned to its luminous appearance the moment the water settled. Lights were shone on the surface and the white milky effect disappeared but when the lights were switched off the luminous effect reappeared instantly. 2330 hours and still there was no sign of this effect disappearing although some patches about 3 miles from the vessel appeared more greyish in colour. The sky remained clear and no fluctuation occurred in the air or sea temperatrues, barometer steady, no trace on the Echo Sounder and no magnetic anomaly noted. Although the wind remained force 8 the wave tops had disappeared almost as if a light film of oil had been spread over the surface. 2350 hours and the area ahead looked as if it was returning to its normal state although a large white loom showed across the horizon ahead. Midnight and the normal sea state for force 8 had lasted 10 minutes then once again the vessel was in the midst of this milky white sea. The area was again as large as previously and with the same intense illumination effect. 0045 hours and the sea was now turning from creamy white to a more greyish colour although the size of the area still remained as far as the eye could see all round the horizon. 0110 hours and the effect had thinned out with the sea surface returning to normal for a force 8 gale. By 0120 hours there was no trace of 'White Water" in any direction, it was just as if it had never been. I hope the aforegoing information can be of some value to you and can assit in your further study of this phenomenon. Yours truly, J.Y. Simpson. 3rd. Officer. I would just like to add to the above report that although I have witnessed "White Water" on previous occasions I have never seen such an extensive display as this. The vessel spent four hours sailing through this strange phenomenon some 45 miles. P.F. Redfern. Master.	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	224
08/04/1981	21:30 GMT	08/05/1981	01:00 GMT	19 deg 30' N	60 deg 00' E	SS British Ranger (38131)	C. White, Second Officer; M. Xuereb, Seaman First Grade	4-8-81 2130Z to 5-8-81 0100Z. Position 19 deg 30'N 60 deg 00.0'E Wind SWxS Force 6. Visibility 8 miles. At 2130 it was noticed that the horizon was no longer visible and a few minutes later again became visible but now the sea was much ligher than the sky. This was thought at first to be the reflection of the ships lights in some restricted visibility but on switching off the light the glow was still present. The glow increased in intensity and by 2000 the whole sea was glowing evenly and sufficiently brightly to obscure the breaking wave crest, and ships wake. The glow continued with varying intensity until 0100Z when it finally disappeared.	Letter to Dr. Herring	Oman	Milky Sea	0	N/A	226
08/18/1981	15:00 GMT	08/18/1981	16:00 GMT	18 deg 06' N	63 deg 05' E	Cape Ortegal (38367)	M.J. Barrington, Second Officer; R.A. Warner, Third Officer; N.C. Duncan, Naval Cadet	Bioluminescence was experienced in the form of a milky white sea lasting for aorund one hour from 1500-1600 HRS GMT on 18th August 1981 in the centre of the Arabian Sea. Position 18 deg 06'N 63 deg 05'E the vessel appeared to be "floating on a white cloud of gas" Capt. L.M. Hocking Observers: M.J. Barrington 2/O, R.A. Warner 3/O, N.C. Duncan Nav. Cadet.	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	226
11/30/1981	(?)	12/01/1981	(?)	10 deg 00' N 	101 deg 00' E	(?)	David Globehill, Private Mariner	The most striking event that I witnessed was the overall sea being a bright emerald green, electric blue at the crests of the waves (formed by the ship's wake/bow wave) with what I can only describe as a giant rotating helicopter blade affect rotating astern and either side of the vessel. It seemed to be resonant with the ship's propeller. Also within the flat calm sea there were frequent pin points of electric blue light.	Miller et al. 2021	Gulf of Thailand	Milky Sea	0	N/A	227
08/19/1982	03:30 GMT	08/19/1982	04:15 GMT	2 deg 28' S	87 deg 36' W	Mairangi Bay (30903)	S. Barraclough, Third Officer; M. Insly, Seaman First Grade	Observations Made between 0330Z + 0415Z. Port Chalmers to Balboa 19th August 1982 Position of Ship 2 deg 28'S 87 deg 36'W. Whilst proceeding on a course of 038 deg (T) @ 21 KT through the Gulf of Panama towards Balboa. The sea ahead of the vessel had an illuminated appearance as the vessel neared the area, which appeared to be stretching to the horizon on either side of the vessel. The phenomena became more pronounced. The sea having a milky white colour the cloud cover was 8/8 stratocumulus with no moon so reflection was ruled out. The vessel continued to pass through the phenomena for 3/4 of an hour during which time samples were taken of the water, though the samples do not give off any illuminated nor was the water discoloured in any way. The phenomena sloowly faded out At 0415Z. Visibility was approx 12 miles. Sea temp 22.8 deg C; Air Temp (dry + wet) 22.0 deg C 19.6 deg C; Wind SE'ly 2; Barometer 1011.9	Letter to Dr. Herring	Gulf of Panama	Milky Sea	0	N/A	228
09/22/1982	22:05 GMT	09/22/1982	23:15 GMT	14 deg 57' S	87 deg 36' E	Flinders Bay (39647)	M. Watts, First Officer; M. Trafford, Third Officer; M. Rigby, SMN; W. Loman, SMN	Posn 14 deg 57'S, 87 deg 36'E. Times of observation between 2205-2315 GMT (21-9-82) 0405-0515 SMT (22-9-82) Air temp 22.5 deg (C) Dry 18.9 deg (C) wet, sea temperature 25.0 deg (C). Barometric Pressure 1014.4 mb (Corrected) 5/8 Cu Cloud. Close 129 deg (T) Speed 20 Kn. During the above times the vessel encountered an usual example of bioluminescence taking the form of "white" or "milky" water. The bioluminescence appeared ahead of the vessel. (Approximately One Mile) and its inital appearance was that of shallow mist stretching from the vessel to the horizon on either side. However once the vessel had entered the bioluminescence patch it became apparent as to the type of phenomenon we were witnessing. Upon entry into the bioluminescent area the radar was switched on but this made no apparent difference to the luminescence. Or to the general nature of the phenomeon. Nor did its appearance change noticeably during the duration of the observation. One very noteable feature was the appearance of the sky and clouds during the transit which prior to encountering the bioluminescence was relatively light, however once the sea surface became affected the sky and clouds appeared to be almost black in contrast with the water giving an indication as to the luminosity of the bioluminescence.	Letter to Dr. Herring	Indian Ocean	Milky Sea	0	N/A	229
09/08/1983	17:00 GMT	09/08/1983	(?)	6 deg 28' N	78 deg 20' E	MV Liverpool Bay (40726)	K. F. Hodson, Second Officer	0045Z: Ship's Pos'n 22 deg 10'N 60 deg 12'E - Report of Bioluminescence. A large area (about one mile in extent) of white water/milky sea was observed off the coast of Oman. This was preceeded by an area of patches expanding and contracting, varying in radius from 5 meters to 15 and moving in a Southerly Direction. Conditions - Air Temp 25.2 deg C - Wet Bulb 23.5 deg C - Clear Skis - Wind SW 4. Observer K.F. Hodson 2/O/D.	Letter to Dr. Herring	Oman	Milky Sea	0	N/A	230
07/31/1984	22:00 LOC	08/01/1984	00:00 LOC	20 deg 30' N	60 deg 00' E	(?)	Kris Kimmons, US Navy	One night the surface of the sea was phosphorescing brilliantly enough you could read (barely) on the bridge. The extent of the phenomenon was from horizon to horizon. Of note, we were working with a pilot who reported he was seeing it from horizon to horizon as well at 1000 feet. (The sea surface) had a very diffused look. The spray (~15-20 kts blowing and ~3 foot chop) was phosphorescing as well so the surface looked like a soft fuzzy blanket. The light from the surace of the sea was brighter than full moonlight. The whole battle group was in the phosphorescent area. I went to bed and asked the other watch and they said it lasted pretty much the rest of the night.	Miller et al. 2021	Masirah Island	Milky Sea	0	N/A	231
08/13/1984	22:00 LOC	08/13/1984	(?)	5 deg 00' S	129 deg 00' E	Australian Purpose	Master, 3rd Mate R. Lewry, 2nd Mate R. Matesworth, 1st Mate P B. Wallington-Beddoe	13-8-83 2200 hrs GMT V/L in Banda Sea off Kebulauan Is. Course 019 deg T+G Speed 12.2 knots. Observed following phenomena: Sky darker than sea. Ship stark + black against sea. Bow waves very faintly discernable. Entire sea an even milky colour. This phenomena lasted till an hour before daybreak on 14th 8 83 and was observed by Master, 3rd Mate R. Lewry, 2nd Mate R. Matesworth, 1st Mate P B. Wallington-Beddoe through each of their watches. Sky: Clear - O'Cast. Sea Conditions SE4 - SESE3. Air Temp 25 deg C - 23 deg C Wet Bulb 24 deg C - 22 deg C.	Letter to Dr. Herring	Banda Sea	Milky Sea	0	N/A	232
08/23/1984	16:25 GMT	08/23/1984	16:40 GMT	18 deg 40' N	63 deg 45' E	MV Fort Rouge (42109)	Captain P Hill, C.B. Mawer, Third Officer, Mr. Guingab, Lookout	23rd August '84. Lat 18 deg 40' N, 63 deg 45' E. Air Temp 25.2 deg C, Barometer 1008.2 mb Corr'o Ships Course 317 deg True @ 15 KNOTS Dew Point Temp 23.1 deg C. Bioluminescence of the 'Milky Sea' type observed. Appeared on the horizon between 260 deg and 310 deg T (Approx). Moved towards and ship within 5 minutes of appearing on the horizon, was at the ship, 1625 GMT 2025 LMT. Initially bright it slowly faded in intensity as it passed the ship. By 1640 initial brightness gone. Bioluminescence from ship's bow wave fairly strong thru'out. Observers Capt. P Hill, 3rd Officer CB mawer and Lookout Mr. Guingab. The bioluminescence appeared to be heading in a direction of 220 deg T. There did not appear to be any individual luminous organisms.	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	231
08/23/1984	18:20 GMT	08/23/1984	19:40 GMT	12 deg 21' N	60 deg 47' E	MV Fort Carleton	5 unnamed officers	Following detail in connection with above, observed by Master Ch. Engineer, Radio Officer and 3 Deck officers totalling over 90 years of sea experiene. Arabia Sea Pos'n 12 21 N 60 47 E 2220 L/t (GMT+4) Air Temp 24C Wet 23C Dew Pt 23C Sea Temp Eng inlet 24C. Cloud 2/8 Wind SWxS Force 4/5 Slight of sea and Swell. No Moon. Visibility min 10 miles. "Whote visible sea area, horizon to horizon showing pure white and luminescence no reflected light. Ship appeared to be standing dark in a pure shite sheet, a glow over the whole area appearantly from below sea surface of 'neon' type light. No patches, no extra brilliance to low wave tops." Pos'n 10 10 N 61 17 E 0140 LT (GMT+5) Weather unchanged. Luminosity Ceased. This was an extraordinary display of light never before seen by any officer previously.	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	233
08/29/1984	22:20 GMT	08/29/1984	(?)	11 deg 53' N	58 deg 56' E	Oriental Chief (Hong Kong Selected)	S. Bhola, Chief Officer, CJ Keen, Second Officer	Port Kelang to Le Haure via Suez. Obs S Bhola C/O, CJ Keen 2/O. Thurs 30th August 1984 (local time). On the 29th of August at 2250 Z the vessel was in the Arabian Sea in approximate position 11 deg 53' N, 058 deg 56' E, preceeding on a course of 285 deg <T> at a speed of 19.5k. At about 2225 Z, a whitish glow was observed on the horizon and after 5 minutes steaming the ship was completely surrounded by a sea of a milky-white colour, which was emitting an even uniform glow similar to that of a flourescent strip light held just under the surface of the water. The intensity of the light produced by this bioluminescence was similar to that produced by a full moon on a clear night. Around the vessel patches of sea could be observed that were darker in color and no bioluminescence was present. The white colour of the sea could be broken up by the vessel's bow wave. After a further 10 minutes streaming, the vessel was...	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	233
09/01/1984	19:15 GMT	09/01/1984	19:45 GMT	10 deg 41' N	62 deg 08' E	MV Cardigan Bay (41900)	I. M. Hill, Second Officer, I Thomas, Cadet	September 1st 1984 1915Z. O.R. Position 10 deg 41' N 62 deg 08' E. Observers: I. M. Hill 2/O N. I. Thomas CAD N. The while sea was seen to glow a pale luminous white. It was similar in appearance to a calm sea under a full moon. The sea state was approximately 5 on the Beaufort Scale and the sky was clear with no moon! The wind was from the southwest and the sea temperature was 25.5 deg C. It was thought that the luminosity was not instigated by the ship itself as the phenomena was seen well ahead of the vessel. The phenomena lasted approximately 30 mins.	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	233
04/13/1985	03:00 GMT	04/13/1985	05:00 GMT	6 deg 00' S	81 deg 20' W	MV Andes (43445)	T.J. Suelgoo, Third Mate, H. Barton, Master	Saturday 13th April 1985. All times local, Zone GMT -5 hrs. v/c proceeding northwards at 18 kts off the coast of Peru in the region of Pta Falsa. 2200: pos 6 deg 09'S 81 deg 14' W, v/c entered area of heavy bioluminescence, turning the sea a milky colour extending to the horizon westwards. The edge of the area was very well defined and its direction approx. 060 deg (T) / 240 deg (T). The bow wave and water down the ship's side, where disturbed, glowed a very bright green, not speckled, but solid color. 2230: pos 6 deg 02' S 81 deg 17' W, the bioluminescence began to thin so that the milky colouration of the sea became patchy and the green glow produced, speckled. 2330: pos 5 deg 43' S 81 deg 21' W, the bioluminescence had by now thickened to the same extent as the original (2200) observation. 2400: pos 5 deg 33' S 81 deg 22' W, the milky colouration was by now completely gone and the effects of bioluminescence reduced to the normal occasional speckling of the ship's bow wave.	Letter to Dr. Herring	Pero	Milky Sea	0	N/A	234
08/15/1985	15:00 GMT	08/15/0195	17:00 GMT	10 deg 42' N	62 deg 48' E	MV City of Edinburgh	R. Basford, First Officer, J. Banks SGIA	15th August 1985 Position 10 deg 42' N 62 deg 48' E (Arabian Sea) on passage from Suez to Port Kelant. Course 106 deg, Speed 19 kts. Between the hours of 1500-1700Z, the vessel passed through an extensive area of bioluminescence believed to be the form 'white water.' The phenomenon was first observed by the first officer (Mr. R. Basford) who summoned the Chief Officer for a second opinion. The phenomenon was subsequently observed by 14 officers of all ranks and although 'white water' is believed to be common in the area, none of the observing officers had seen it before. The white water took the form of a constant milky white glow covering the entire sea surface, and was sufficient to illuminate the undersides of the small amounts of cumulus present at the time. Had the horizon not been clearly visible the white water could have been mistaken for a type of fog. Visibility was in fact excellent, confirmed by radar and visual observation of a ship 10 miles away. A sample of the water was taken by rubber bucket, but attempts to stimulate the same bioluminescence reaction in a glass by stirring and shaking met without success. The sea temperature was 26.3 deg C and the air temperature was 26.9 deg C. The wind was southwesterly force 3 having abated in the previous 4 hours from a force 6. Initial Observers: R. Basford 1/o, J. Banks SGIA	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	235
08/17/1985	17:10 GMT	08/17/1985	17:30 GMT	10 deg 00' N	62 deg 00' E	MV Port Vancouver	R. J. Pease, M. J. Clark	17th August 1985. Time: 1710 z ~ 1730 z (GMT + 05h LMT). Locality: Arabian Sea, Latitude 10 deg N, Longitude 62 deg E/ As prevalent in the Arabain Sea during this time of year, in the above period of approximately twenty minutes, the phenomena of bioluminescence was observed at a very high intensity and thereafter for four to five hours, gradually decreasing in intensity. During the above period the whole sea surface to the hoirzon was observed as a uniform, brilliant white glow, similar to what is recognized as a "milky sea." To note in particular, just prior to this twenty period, the sea surface showed no indication of bioluminescence of any type, and the rate at which its appearance changed contrast from dark to a brilliant white was only a period of several seconds.	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	235
08/18/1985	00:00 GMT	08/18/1985	(?)	22 deg 30' N	60 deg 00' E	MV Staffordshire (43571)	G. Fenry, Chief Officer, A. Molposs, Second Officer	Korea to Arabian Gulf 0000Z 18th August 1985. Details as Per Observation - Obs G Fenry C/O and A Molposs 2/O. While on passage through the Arabian Sea in the Ras al Hadd Area, Milky Sea Bioluminescence was observed. The air smelt of fish and the air temperature was noticably cool, the 2/O mistook the phenomena as sea smoke, which in fact it looked like. (Possibly the luminescence in the air above the sea surface mentioned in Met 0887). The entire surface of the sea was glowing as though lit from beneath and uniformally Milk White as per the Marine Observer Handbook (Met 0887). The v/hs wake and wash showed no increase in brightness. The sea appeared calm but the wind speed was estimated at 12 knots. No large sealife was observed. On leaving the area of 'white water' a very marked contrast was noted between said white water and black normal colour, the line being very nearlt straight with some distortion - (The bioluminescence appeared to cover the entire sea surface horizon to horizon.)	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	236
12/10/1985	11:00 GMT	12/10/1985	(?)	34 deg 16' S	162 deg 26' E	MV Willowbank (43552)	K. P. Mowat, Third Officer	10th December 1985 / 1100 Z / 2200 LMT Bioluminescence in Tasman Sea. The initial observation was of 'speckles' running along the ship's side and in the bow waves, these appeared to be caused by the direct disturbance of the water by the vessel. This was observed for several minutes before the vessel entered an area of 'patchy', seemingly 'milky sea', where the water emitted a diffuse glow. It was noticed that the wind was blowing the luminescence in 'slicks' which could be seen to be qutie distant from the ship. Although unable to gauge how extensive the phenomena was, it appeared to stretch half-way to the horizon, and certainty did not appear to be triggered by the ship's movement, as the area of phenomena could be seen approaching and then disappearing astern. The ship's sea track caused quite a distinctive glowing wake and the 'speckles and patches' which were first observed, continued through the encounter and for several mintues after. It was interesting to note that the local speckled luminescence was quite sharp and distinct to the eye as opposed to the more remote 'milky/patchy' sea phenomena which produced an even diffuse glow in the surface water. Posn: 34 deg 16.5' S, 162 deg 26.0' E. Wind N'ly 5: Air temp: 19.3 deg C, Sea Temp: 19.0 deg C, Light rain at the time, radar operating.	Letter to Dr. Herring	Tasman Sea	Milky Sea	0	N/A	237
08/13/1986	21:30 GMT	08/13/1986	21:45 GMT	12 deg 47' N	61 deg 56' E	MV W. A. Mather (44478)	H.N. Niblock, Second Officer	13.8.86 at 2130 GMT (Local Time: 14 0130HRS). Observer: H.R. Niblock 2nd Off. Jeddah to Botany Bay. Posn 12 deg 47' N, 61 deg 56' E. For a period of about 15 mins the entire sea surface took on an intense white glow which was not unlike viewing the negative of a photograph. Brighter patches were visible at random which was probably due to sea and swell waves breaking on the surface. Bioluminescence had been visible on brief occasions over the past two nights/mornings but not as spectacular as this viewing. It stopped as abruptly as it had started with its accompanying odour of marine life being taken with it. Met Conditions: No cloud, wind SSW 6, sea: rough, swell: heavy SW'ly, Barometer: 1005.8, sea temp: 26 deg, air temp 25 deg, dew point temp: 22.6 deg	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	238
09/05/1986	17:20 GMT	09/05/1985	18:00 GMT	15 deg 11' S	107 deg 42' E	Cape Hawke (Australian Selected)	(?)	Fremantle towards Christmas Is. 5/9/86 1720-1800Z Extensive area of bioluminescence observed extending from vessel to horizon through 360 deg. Sea has 'milky white' character of uniform brilliance. Posn 15 deg 11' S 107 deg 42' E. Dry bulb 25 deg, wet 19.3 deg, barom 1016.5, wind SExS 5	Letter to Dr. Herring	Christmas Island	Milky Sea	0	N/A	239
09/28/1986	21:00 GMT	09/28/1986	22:00 GMT	22 deg 30' N	60 deg 00' E	Atlantic City (45025)	John D. Murrary, Second Officer	28th September 1986 2100Z (290100LT) Intense white bioluminescence was observed while rounding 'Ras Al Hadd.' Southbound at a distance of 10 miles. The north/south extent of the bioluminescence was approximately 12 miles. It's east/west extent being indeterminable. Sea temperature dropped 7 deg C to 23 deg C during the one hour period of observation. The sky was clear with no moon. Wind was from the SSW at 30 knots. Sighted by John D. Murrary 2/O.	Letter to Dr. Herring	Oman	Milky Sea	0	N/A	240
01/30/1987	20:30 GMT	01/30/1987	21:10 GMT	11 deg 23' N	55 deg 05' E	MV Cardigan Bay (44846)	K.S. Hardy, Second Officer	Lat 11 deg 23' N, 55 deg 05' E. Co 281 deg (T) Sp 19 kts. Wind NE 4. Temps 24 deg C (dry), 22.2 deg (wet), sea 23.28 deg. 30th January 1987. At 2030 Z (0030 LT) the horizon to the north and west appeared to have a low bank of white cloud on it. After a few minutes it was realized this was not the case and was infact a difference in the colour of the water. The sky was cloudless and with no moon. As the vessel entered the area of discolored water it appeared light grey in colour. there was no phosphorescent glow observed but the disturbed water close to the vessel had the appearance of being lit from below rather like a diffused white light. The phenomena lasted approximately 40 minutes gradually fading until gone. Observer: K. S. Hardy 2/0/N	Letter to Dr. Herring	Socotra	Milky Sea	0	N/A	241
05/17/1988	22:45 GMT	05/17/1988	23:00 GMT	37 deg 34' N	24 deg 22' W	MV Etrema (46321)	J.R. Wildson, Third Officer	2245 Z 17th May 1988 North Atlantic APPROX 40' EAST OF SAN MIGUEL IN AZORES IN POSITION 37 deg 34' N 24 deg 22' W. The 'white water' was first seen in large shapes, as in diagram, it resembled the wake of a ship but where was no change in the state of the sea surface. An aldis lamp was shone on the shapes but this has no effect in increasing their luminescence. At no time was their colour green, however they a denser white at the 'front' of the shape. A constant stream of shapes appeared with about 30 sec to 1 minute between passed. Occasionally one appeared longer and about 1 metre wide. The phenomenon lasted about 15 mins. Weather: Dry clear night, Wind: SE 3, SEA: slight, SWELL: low-moderate, average length, CLOUD: 2/8, TEMPS: dry 16.7 C, wet 16.0, sea 17.0	Letter to Dr. Herring	North Atlantic	(?)	2	N/A	242
02/01/1989	16:10 GMT	02/01/1989	(?)	16 deg 52' N	57 deg 30' W	British Resolution (47181)	R. Sablay, Watchman, K. Kitchen, Chief Officer	Date 1st Feb 89, GMT 1610 hrs Ships Co 205 deg Spd 14.0 knots. Wind ExS force 3. Temp 24.2 C Dewpoint 21.6 deg Bar 1016.5 Dark night, no cloud, no moon, bright stars. The colour of the sea all around the horizon turned gradually to a milky white, this lasted for about 20 mins, then returned to normal over a period of about 15 mins. About 10 mins later the phenomena occurred again, but this time did not go as pale as previously and lasted only for about 5 mins. Observed by R. Sablay (Watchman), K. Kitchen (CH.OFF)	Letter to Dr. Herring	East Caribbean	Milky Sea	0	N/A	243
09/03/1989	(?)	09/03/1989	(?)	12 deg 03' N	57 deg 55' E	MV Isocardia (47937)	J.S. Mercer, Second Officer; M. Gooderham, Third Officer; D. Austin, Cadet; N. Hiscock, G. I.	2045Z 3/8/89. Lat 12 deg 03'N, 57 deg 55'E. Vessel passed through an apparent area of bioluminescence from horizon to horizon. The sea had a marked lighter appearance than the sky, almost a "snow scene" look about it. The sky was clear (cloudless) No moon. Wind SxE - 2/3. Sea slight - Swell low, Air Temp 25 deg C, Sea Temp 25 deg C. After approximately 10 minutes a "definate line" could be seen as the vessel cleared the area and the sea returned to its normal appearance. Depth of water in excess of 2000 meters.  Course 105 deg (T). Speed 16 knots. At 2100Z (0100 LT) vessel entered a similar area which was cleared 20 minutes later. in neither area was there any increase in the appearance of the wake or bow wave of the vessel.	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	244
